iter	Passed	Remaining
0	1	120
1	2	109
2	3	100
3	3	90
4	4	87
5	5	86
6	6	86
7	7	85
8	8	84
9	9	82
10	9	80
11	12	91
12	13	90
13	14	89
14	15	89
15	16	86
16	17	83
17	17	81
18	18	78
19	19	76
20	19	75
21	20	73
22	21	71
23	21	69
24	22	67
25	23	66
26	23	64
27	24	63
28	25	63
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	53
39	35	52
40	35	51
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	41	44
48	42	43
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	57	32
64	58	31
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	68	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	82	0
